# most common North American street names
# source: openstreetmap.org
Main Street,12364
Broadway,5547
King Street,4372
Queen Street,3752
Church Street,3726
Maple Street,2751
Victoria Street,2716
Union Street,2681
Yonge Street,2632
John Street,2582
Pine Street,2549
South Main Street,2430
Park Avenue,2405
Riverside Drive,2350
Elm Street,2325
South Emerald Avenue,2295
George Street,2288
South Indiana Avenue,2286
South Union Avenue,2284
Lakeshore Road,2277
Bedford Avenue,2235
William Street,2227
River Road,2193
Jamaica Avenue,2172
Central Avenue,2145
Hillside Avenue,2133
Park Street,2115
Water Street,2115
South Morgan Street,2104
Jefferson Avenue,2099
York Road,2015
Washington Avenue,2003
South Lowe Avenue,1989
Centre Street,1986
North Main Street,1965
South Prairie Avenue,1948
South Michigan Avenue,1941
Wilson Avenue,1920
Mill Street,1904
East Main Street,1902
Maple Avenue,1895
Shore Road,1829
Bay Street,1828
South May Street,1807
Lexington Avenue,1746
James Street,1742
Ridge Road,1724
South Wood Street,1714
Ontario Street,1707
South Peoria Street,1702
Fulton Street,1691
Linden Boulevard,1685
King Street East,1682
Wellington Street,1677
South Artesian Avenue,1669
South Wallace Street,1661
Oak Street,1652
South Calumet Avenue,1651
South Campbell Avenue,1648
South Sangamon Street,1631
South Wabash Avenue,1624
South Aberdeen Street,1615
South Albany Avenue,1613
Madison Street,1609
South Carpenter Street,1604
South Green Street,1588
Grand Avenue,1585
Atlantic Avenue,1585
South Winchester Avenue,1570
South Parnell Avenue,1568
Richmond Road,1558
Liberty Avenue,1552
West Street,1548
South Laflin Street,1547
High Street,1546
Albert Street,1543
Roosevelt Avenue,1538
Cedar Street,1536
South Paulina Street,1534
Lincoln Avenue,1525
Forest Avenue,1524
South Maplewood Avenue,1517
Cabot Trail,1511
South Throop Street,1511
South Washtenaw Avenue,1510
South Fairfield Avenue,1509
South Troy Street,1508
Myrtle Avenue,1506
West Main Street,1504
North Street,1491
Nostrand Avenue,1482
South Marshfield Avenue,1475
Madison Avenue,1465
Elizabeth Street,1438
Dufferin Street,1426
Charles Street,1417
South Bishop Street,1415
South Homan Avenue,1415
South Princeton Avenue,1411
South Damen Avenue,1410
West Addison Street,1408
Henry Street,1403
South California Avenue,1403
Victoria Avenue,1399
Main St,1398
Front Street,1396
South Hermitage Avenue,1394
King Street West,1394
South Talman Avenue,1388
South Racine Avenue,1376
South Normal Avenue,1376
South Wolcott Avenue,1369
Kingston Road,1368
South Whipple Street,1366
Chestnut Street,1362
Main Street East,1358
Francis Lewis Boulevard,1356
South Honore Street,1352
Franklin Avenue,1346
Lake Street,1343
Bank Street,1337
West Belmont Avenue,1337
Market Street,1325
South Spaulding Avenue,1316
East 23rd Street,1308
East 28th Street,1307
Avenue 1e,1299
Park Place,1292
South Sawyer Avenue,1290
Elgin Street,1288
South Karlov Avenue,1287
Putnam Avenue,1287
Washington Street,1285
Lafayette Avenue,1282
Spring Street,1278
North Mason Avenue,1268
North Central Park Avenue,1265
North Monticello Avenue,1264
South Justine Street,1263
North Drake Avenue,1262
South Rockwell Street,1262
East 7th Street,1258
Hancock Street,1256
East 2nd Street,1255
South Keeler Avenue,1255
East 29th Street,1254
East 93rd Street,1246
South Christiana Avenue,1246
White Plains Road,1241
South Hoyne Avenue,1238
Dundas Street West,1237
Metropolitan Avenue,1232
South State Street,1231
North Campbell Avenue,1227
South Kedvale Avenue,1226
South Kostner Avenue,1224
East 22nd Street,1217
South Saint Louis Avenue,1206
East 26th Street,1204
South Komensky Avenue,1204
Carroll Street,1203
North Avers Avenue,1203
Greene Avenue,1200
Greenwood Avenue North,1199
North Milwaukee Avenue,1199
Prince Street,1194
Virginia Avenue,1191
South Saint Lawrence Avenue,1185
North Paulina Street,1185
North Central Avenue,1184
South Kildare Avenue,1183
South Street,1183
Mill Road,1181
South Sacramento Avenue,1180
South Wentworth Avenue,1179
Princess Street,1177
Pleasant Street,1177
California Avenue Southwest,1176
North Lawndale Avenue,1174
South Trumbull Avenue,1172
South Vernon Avenue,1170
North Saint Louis Avenue,1170
South Oakley Avenue,1169
North Springfield Avenue,1169
West Roscoe Street,1163
South Seeley Avenue,1162
Crescent Street,1159
Northern Boulevard,1158
Highland Avenue,1156
West Melrose Street,1145
State Street,1140
Richmond Street,1138
Flatbush Avenue,1137
East 38th Street,1137
East 19th Street,1134
Main Street West,1134
Springfield Boulevard,1132
East 35th Street,1132
East 4th Street,1131
University Avenue,1129
North Albany Avenue,1129
East 3rd Street,1127
South Tripp Avenue,1125
Prospect Avenue,1123
Sunset Drive,1120
Simcoe Street,1118
East 37th Street,1117
Airport Road,1115
South Ada Street,1114
South Halsted Street,1114
Spruce Street,1114
Bathurst Street,1113
Grove Street,1113
Woodbine Avenue,1113
North California Avenue,1109
South Rhodes Avenue,1108
North Ashland Avenue,1103
East 52nd Street,1102
South Eberhart Avenue,1099
North Harding Avenue,1097
North Menard Avenue,1096
South Kedzie Avenue,1094
North Hamlin Avenue,1093
East 51st Street,1090
Walnut Street,1090
Monroe Street,1088
East 92nd Street,1084
South Kolin Avenue,1084
South Elizabeth Street,1082
Dean Street,1080
Murray Street,1079
El Camino Real,1078
Bergen Street,1071
East 9th Street,1070
Rainier Avenue South,1070
North Rockwell Street,1066
East 34th Street,1065
Division Street,1065
Dundas Street,1063
Oak Avenue,1063
West 21st Street,1062
Dundas Street East,1061
Church Avenue,1060
Queen Street East,1060
Bayview Avenue,1060
East 91st Street,1059
Decatur Street,1059
South Francisco Avenue,1057
Huron Street,1053
North Damen Avenue,1053
Jane Street,1052
East 8th Street,1050
East 27th Street,1050
East 5th Street,1049
York Street,1049
Hylan Boulevard,1048
West Capitol Avenue,1046
West School Street,1046
South Claremont Avenue,1044
Sutter Avenue,1042
Coney Island Avenue,1040
North Kildare Avenue,1031
East 13th Street,1030
South Kenneth Avenue,1030
East 53rd Street,1029
South Springfield Avenue,1029
Amsterdam Avenue,1029
North Richmond Street,1028
Manor Road,1028
West North Avenue,1028
Gates Avenue,1027
East 18th Street,1027
North Spaulding Avenue,1026
East 21st Street,1026
South Champlain Avenue,1025
South Western Avenue,1024
North Francisco Avenue,1023
Pacific Street,1020
Taylor Avenue,1020
East 12th Street,1020
College Avenue,1017
South Mozart Street,1015
South Ashland Avenue,1013
North Ridgeway Avenue,1013
East 95th Street,1007
East 55th Street,1005
East 54th Street,1001
Grand Street,1000
Mary Street,999
West 23rd Street,997
South Perry Avenue,995
East 48th Street,994
North Whipple Street,993
New York Avenue,993
North Monitor Avenue,990
South Bell Avenue,989
Kennedy Road,986
East 83rd Street,986
Catherine Street,984
North Mozart Street,983
North Troy Street,981
West 64th Street,981
Bell Boulevard,979
Avenue L,978
Ocean Avenue,976
North Western Avenue,976
North Hermitage Avenue,976
North Kimball Avenue,975
President Street,973
Lincoln Street,972
Avenue M,972
Bridge Street,970
North Maplewood Avenue,969
North Parkside Avenue,965
East 96th Street,964
East 32nd Street,964
South Richmond Street,959
North Leavitt Street,956
Thomas Street,955
East 24th Street,954
East Tremont Avenue,953
West Barry Avenue,953
Regent Street,953
West Foster Avenue,952
North Neva Avenue,951
South Eggleston Avenue,951
North Sawyer Avenue,951
West 19th Street,949
East 31st Street,947
North Clark Street,945
Avenue 2e,944
College Street,942
East 49th Street,941
South Hamlin Avenue,941
North Melvina Avenue,940
Halsey Street,939
North Kostner Avenue,937
Young Street,937
Belmont Avenue,937
East 14th Street,937
South Lawndale Avenue,936
West 25th Street,934
North Newcastle Avenue,934
West Monroe Street,934
Schenectady Avenue,931
Central Street,930
Bloor Street West,930
North Oakley Avenue,930
Sterling Place,924
West 63rd Place,924
South Woodlawn Avenue,923
West Wrightwood Avenue,922
Amboy Road,922
North Austin Avenue,921
West Irving Park Road,921
Howard Avenue,920
East 56th Street,918
West Walnut Street,918
Douglas Avenue,918
West Cornelia Avenue,913
North Elston Avenue,911
East 15th Street,910
Nelson Street,907
West 63rd Street,906
Bay Ridge Parkway,904
Church Road,903
North Meade Avenue,902
Bay Ridge Avenue,902
North Keeler Avenue,901
Delaware Avenue,898
West Armitage Avenue,896
Willow Street,896
North Nordica Avenue,896
Route 132 Ouest,895
East 17th Street,895
South Ridgeway Avenue,895
Parsons Boulevard,894
South Langley Avenue,894
West Henderson Street,893
North Moody Avenue,892
West Huron Street,891
North Hoyne Avenue,889
East 46th Street,889
South Kilbourn Avenue,888
West Grace Street,888
North Oak Park Avenue,883
West 59th Street,882
North Sacramento Avenue,882
West Wellington Avenue,882
Poplar Avenue,880
South Archer Avenue,879
North Artesian Avenue,878
Prospect Place,878
Corona Avenue,878
Lakeview Drive,878
East 87th Street,877
Dogwood Drive,876
West Fullerton Avenue,875
West Adams Street,874
North New England Avenue,872
West 8th Street,872
Scott Street,872
South Yale Avenue,871
Mountain Road,867
Broad Street,867
South La Salle Street,865
Wilson Street,865
Baseline Road,864
East 16th Street,863
Westchester Avenue,863
Jackson Avenue,862
South Higuera Street,861
South Avers Avenue,861
South Harding Avenue,861
North Wolcott Avenue,861
Green Street,860
North Lincoln Avenue,859
Saint Marks Avenue,859
North Washtenaw Avenue,859
Richmond Avenue,858
Vermont Street,856
North Kedzie Avenue,856
Jackson Street,856
Avenue T,854
North Laramie Avenue,854
Liberty Road,854
South Oglesby Avenue,852
North Nagle Avenue,851
North Marmora Avenue,850
West Diversey Avenue,848
Broadway Street,848
West Grand Avenue,847
North Kedvale Avenue,846
North Tripp Avenue,845
South Ellis Avenue,844
Utopia Parkway,843
North Lowell Avenue,843
Saint Nicholas Avenue,843
Woodward Avenue,842
West 64th Place,839
Grant Avenue,837
West 71st Street,837
East 89th Street,837
West Berwyn Avenue,837
Russell Street,836
North Greenview Avenue,836
Pearl Street,833
East 84th Street,833
Manhattan Avenue,832
West Fletcher Street,831
West 83rd Street,830
Avenue Royale,830
East 57th Street,830
North Mobile Avenue,826
North Kilbourn Avenue,826
West 55th Street,825
North Bernard Street,824
North Keystone Avenue,822
Ocean Parkway,821
Duke Street,820
Troy Avenue,820
South Drake Avenue,819
West Montrose Avenue,815
South Central Park Avenue,814
West Eddy Street,814
Euclid Avenue,813
East 94th Street,810
Rogers Avenue,810
West Superior Street,810
North McVicker Avenue,809
South Millard Avenue,808
West Newport Avenue,808
Avenue J,807
South Loomis Boulevard,807
West 11th Street,807
Fairview Avenue,805
West Byron Street,804
North Karlov Avenue,802
East 85th Street,802
Albany Avenue,802
West 24th Street,801
West Jackson Boulevard,801
Brown Street,800
East 58th Street,800
Linden Street,800
North Leverett Avenue,799
Belair Road,799
Clinton Street,799
Michigan Avenue,799
Fairway Drive,799
Hamilton Road,798
Route 132 Est,798
West Chicago Avenue,797
North Normandy Avenue,796
Utica Avenue,795
Douglas Street,793
North Kenneth Avenue,793
Birch Street,792
North Long Avenue,791
Queen Street West,791
East 10th Street,789
East 45th Street,787
Evergreen Avenue,787
Union Avenue,785
Rosedale Avenue,785
Cleveland Street,785
North Lockwood Avenue,785
Union Turnpike,785
West Waveland Avenue,785
Saint Johns Place,784
West 6th Street,784
South Kilpatrick Avenue,782
North Talman Avenue,781
Vine Street,779
Beacon Avenue South,778
Reisterstown Road,778
Summit Avenue,778
Beach Road,775
Avenue K,774
Niagara Parkway,774
Murdock Avenue,774
Keele Street,772
De Kalb Avenue,771
South Pulaski Road,770
West 18th Street,769
Harrison Street,769
Foster Avenue,768
Avenue N,768
Avenue U,766
Walker Road,766
North Kenmore Avenue,764
Lefferts Boulevard,764
Hart Street,764
Philadelphia Road,763
Eastern Avenue,763
Brock Street,761
North Claremont Avenue,759
Elmwood Avenue,759
Lincoln Place,758
South Lafayette Avenue,757
Alma Street,755
Oxford Street,754
Ash Street,754
West 47th Street,753
Highland Drive,753
West Wilson Avenue,752
Boulevard Gouin Ouest,752
South Hamilton Avenue,751
Victory Boulevard,749
Pennsylvania Avenue,749
North Pulaski Road,748
South Euclid Avenue,748
East 88th Street,747
St Margarets Bay Road,747
Roosevelt Way Northeast,746
South Crandon Avenue,746
South Loomis Street,743
West 9th Street,743
West 12th Street,740
Boulevard Sainte-Rose,740
Lake Road,738
North Bell Avenue,737
Pitkin Avenue,737
Ridge Avenue,737
North Oriole Avenue,736
West Erie Street,735
West Nelson Street,732
Sherman Avenue,731
Avenue 5e,730
El Cajon Bl,729
South Keating Avenue,729
Beverly Road,729
West Washington Boulevard,729
South Avenue L,729
Broadway Avenue,729
West Ohio Street,728
South Merrill Avenue,728
South Avenue M,727
South Paxton Avenue,727
Warren Street,727
Robinson Road,727
Phinney Avenue North,725
East 86th Street,724
South Leavitt Street,724
North Newland Avenue,723
Smith Street,722
West 10th Street,722
Brooklyn Avenue,721
Linden Avenue,720
Falls Road,717
McDonald Avenue,715
North Rutherford Avenue,714
South Luella Avenue,711
Paulding Avenue,710
River Street,710
Weston Road,709
Riverview Drive,707
South Dorchester Avenue,704
North Sayre Avenue,702
Barnes Avenue,701
West Cullerton Street,699
Loughborough Drive,698
Q Street NW,697
Avenue 8e,697
East 40th Street,697
North Mulligan Avenue,696
South Drexel Avenue,696
University Av,696
Mount Pleasant Road,695
Townline Road,694
North Merrimac Avenue,694
East 59th Street,694
East 43rd Street,694
Kings Road,693
Avenue 4e,693
Webster Avenue,692
South Harvard Avenue,691
Gordon Street,690
Stanley Avenue,690
Van Buren Street,689
Leslie Street,689
West Van Buren Street,689
Emerson Street,689
Ridgewood Avenue,688
North Fairfield Avenue,687
Herkimer Street,687
North Major Avenue,687
North Point Road,686
Jefferson Street,686
Willoughby Avenue,683
Hurontario Street,683
Edward Street,682
Quincy Street,681
Hill Street,680
West 22nd Street,680
Maple Drive,680
Franklin Street,680
South Greenwood Avenue,679
Glenwood Road,679
West 26th Street,679
Grant Street,678
Macon Street,678
West Augusta Boulevard,678
Queens Boulevard,676
Aurora Avenue North,675
Arlington Avenue,675
Remsen Avenue,673
Forest Street,673
Canal Street,673
North Christiana Avenue,671
West George Street,670
Fremont Avenue North,669
Kent Street,669
Hillside Drive,666
Wisconsin Avenue NW,666
Niagara Street,666
Charlotte Street,666
Court Street,665
Marion Street,665
West Cermak Road,665
Montgomery Street,665
North Natchez Avenue,664
Warden Avenue,664
Oakwood Avenue,664
West 107th Street,664
Bushwick Avenue,663
West Berenice Avenue,663
Southwest Topeka Boulevard,662
West 27th Street,662
West Patterson Avenue,662
Arthur Street,660
Frederick Road,660
Boulevard des Laurentides,660
Greenwood Avenue,658
South Bennett Avenue,658
East 73rd Street,658
South Stewart Avenue,656
West Devon Avenue,656
Rockaway Boulevard,656
Fort Hamilton Parkway,655
North Winchester Avenue,655
Colborne Street,655
North Mango Avenue,654
North Oconto Avenue,654
Hillcrest Avenue,653
West Marquette Road,653
Bryant Street,652
Ralph Avenue,652
Country Club Drive,652
Johnson Street,652
South Escanaba Avenue,652
Dolliver,650
Holland Avenue,650
Locust Street,650
West Lawrence Avenue,648
Station Road,648
North Lotus Avenue,647
South University Avenue,647
Delridge Way Southwest,647
Wellington Street West,646
South Exchange Avenue,646
Woodland Drive,646
Middlefield Road,646
P Street NW,646
Essex Street,645
East 36th Street,645
North Leclaire Avenue,645
Avenue 3e,644
South Kimbark Avenue,643
Little Neck Parkway,642
South Evans Avenue,641
Dayton Avenue North,641
North Natoma Avenue,641
Saratoga Avenue,639
Lakeshore Road West,639
West Division Street,639
Bleecker Street,639
East 81st Street,638
Meridian Avenue North,637
Stanley Street,636
West Cullom Avenue,635
East Street,635
West Leland Avenue,634
South Blackstone Avenue,634
West Oakdale Avenue,634
